date,cloud,weather,visibility_km,solar,temperature_c,rainfall_mm,snowfall_cm,snowdepth_cm,sunshine_hours,windspeed_ms,wind_direction
1985/3/1 1:00,,,,,,1,,,,,
1985/3/1 2:00,,,,,,0,,,,,
1985/3/1 3:00,10,,,,4.1,0,,,,6.1,ñkñkêº
1985/3/1 4:00,,,,,,0,,,,,
1985/3/1 5:00,,,,,,0,,,,,
1985/3/1 6:00,10,,,,4.7,0,,,,7,ñk
1985/3/1 7:00,,,,,,0.5,,,,,
1985/3/1 8:00,,,,,,0,,,,,
1985/3/1 9:00,10,,,,5.7,0.5,,,,6.4,ñk
1985/3/1 10:00,,,,,,0,,,,,
1985/3/1 11:00,,,,,,0,,,,,
1985/3/1 12:00,10,,,,7.6,0,,,,6.1,ñkñkêº
1985/3/1 13:00,,,,,,0,,,,,
1985/3/1 14:00,,,,,,0,,,,,
1985/3/1 15:00,10-,,,,10.1,0,,,,5.8,ñk
1985/3/1 16:00,,,,,,0,,,,,
1985/3/1 17:00,,,,,,0,,,,,
1985/3/1 18:00,1,,,,9.3,0,,,,3.2,ìå
1985/3/1 19:00,,,,,,0,,,,,
1985/3/1 20:00,,,,,,0,,,,,
1985/3/1 21:00,3,,,,7.3,0,,,,3.4,ìåìÏìå
1985/3/1 22:00,,,,,,0,,,,,
1985/3/1 23:00,,,,,,0,,,,,
1985/3/2 0:00,10,,,,6,0,,,,1.6,ìåìÏìå
1986/3/1 1:00,,,,,,0,,,,,
1986/3/1 2:00,,,,,,0,,,,,
1986/3/1 3:00,0,,,,2.6,0,,,,2.5,ñkêº
1986/3/1 4:00,,,,,,0,,,,,
1986/3/1 5:00,,,,,,0,,,,,
1986/3/1 6:00,7,,,,3.5,0,,,,3.2,êºñkêº
1986/3/1 7:00,,,,,,0,,,,,
1986/3/1 8:00,,,,,,0,,,,,
1986/3/1 9:00,3,,,,6.9,0,,,,5.2,ñkêº
1986/3/1 10:00,,,,,,0,,,,,
1986/3/1 11:00,,,,,,0,,,,,
1986/3/1 12:00,0+,,,,9.5,0,,,,7,ñkñkêº
1986/3/1 13:00,,,,,,0,,,,,
1986/3/1 14:00,,,,,,0,,,,,
1986/3/1 15:00,10-,,,,9.1,0,,,,2.1,ñkêº
1986/3/1 16:00,,,,,,0,,,,,
1986/3/1 17:00,,,,,,0,,,,,
1986/3/1 18:00,9,,,,6.1,0,,,,3.7,ñkñkìå
1986/3/1 19:00,,,,,,0,,,,,
1986/3/1 20:00,,,,,,0,,,,,
1986/3/1 21:00,4,,,,6.5,0,,,,3.8,ñkñkêº
1986/3/1 22:00,,,,,,0,,,,,
1986/3/1 23:00,,,,,,0,,,,,
1986/3/2 0:00,4,,,,4.7,0,,,,2.9,ñkêº
1987/3/1 1:00,,,,,,0,,,,,
1987/3/1 2:00,,,,,,0,,,,,
1987/3/1 3:00,0+,,,,2.1,0,,,,1.4,ñkñkêº
1987/3/1 4:00,,,,,,0,,,,,
1987/3/1 5:00,,,,,,0,,,,,
1987/3/1 6:00,0+,,,,0.7,0,,,,0.2,ê√â∏
1987/3/1 7:00,,,,,,0,,,,,
1987/3/1 8:00,,,,,,0,,,,,
1987/3/1 9:00,2,,,,6.4,0,,,,0.6,ìÏêº
