date,cloud,weather,visibility_km,solar,temperature_c,rainfall_mm,snowfall_cm,snowdepth_cm,sunshine_hours,windspeed_ms,wind_direction
1985/1/9 1:00,,,,,,0,,,,,
1985/1/9 2:00,,,,,,0,,,,,
1985/1/9 3:00,3,,,,2.2,0,,,,3.2,ñk
1985/1/9 4:00,,,,,,0,,,,,
1985/1/9 5:00,,,,,,0,,,,,
1985/1/9 6:00,9,,,,1.2,0,,,,4.4,ñkêº
1985/1/9 7:00,,,,,,0,,,,,
1985/1/9 8:00,,,,,,0,,,,,
1985/1/9 9:00,0+,,,,2.2,0,,,,2.9,ñk
1985/1/9 10:00,,,,,,0,,,,,
1985/1/9 11:00,,,,,,0,,,,,
1985/1/9 12:00,6,,,,6.6,0,,,,2.6,ñk
1985/1/9 13:00,,,,,,0,,,,,
1985/1/9 14:00,,,,,,0,,,,,
1985/1/9 15:00,10-,,,,9.1,0,,,,1.2,êºìÏêº
1985/1/9 16:00,,,,,,0,,,,,
1985/1/9 17:00,,,,,,0,,,,,
1985/1/9 18:00,0,,,,7,0,,,,1.1,ìåìÏìå
1985/1/9 19:00,,,,,,0,,,,,
1985/1/9 20:00,,,,,,0,,,,,
1985/1/9 21:00,0,,,,7.1,0,,,,1.3,ìå
1985/1/9 22:00,,,,,,0,,,,,
1985/1/9 23:00,,,,,,0,,,,,
1985/1/10 0:00,8,,,,2.9,0,,,,1.5,ñkñkêº
1986/1/9 1:00,,,,,,0,,,,,
1986/1/9 2:00,,,,,,0,,,,,
1986/1/9 3:00,0,,,,2.7,0,,,,0.5,ñk
1986/1/9 4:00,,,,,,0,,,,,
1986/1/9 5:00,,,,,,0,,,,,
1986/1/9 6:00,0,,,,2.9,0,,,,3.9,ìÏêº
1986/1/9 7:00,,,,,,0,,,,,
1986/1/9 8:00,,,,,,0,,,,,
1986/1/9 9:00,0,,,,4.8,0,,,,4.7,ìÏêº
1986/1/9 10:00,,,,,,0,,,,,
1986/1/9 11:00,,,,,,0,,,,,
1986/1/9 12:00,0+,,,,7.4,0,,,,4.8,ìÏêº
1986/1/9 13:00,,,,,,0,,,,,
1986/1/9 14:00,,,,,,0,,,,,
1986/1/9 15:00,5,,,,8.2,0,,,,4.4,ìÏêº
1986/1/9 16:00,,,,,,0,,,,,
1986/1/9 17:00,,,,,,0,,,,,
1986/1/9 18:00,0,,,,6.4,0,,,,4,ñkñkêº
1986/1/9 19:00,,,,,,0,,,,,
1986/1/9 20:00,,,,,,0,,,,,
1986/1/9 21:00,0,,,,4.5,0,,,,2.9,ñkêº
1986/1/9 22:00,,,,,,0,,,,,
1986/1/9 23:00,,,,,,0,,,,,
1986/1/10 0:00,0,,,,3,0,,,,3.5,êºìÏêº
1987/1/9 1:00,,,,,,0,,,,,
1987/1/9 2:00,,,,,,0,,,,,
1987/1/9 3:00,3,,,,4.3,0,,,,0.3,êº
1987/1/9 4:00,,,,,,0,,,,,
1987/1/9 5:00,,,,,,0,,,,,
1987/1/9 6:00,0+,,,,3.5,0,,,,2.3,êºìÏêº
1987/1/9 7:00,,,,,,0,,,,,
1987/1/9 8:00,,,,,,0,,,,,
1987/1/9 9:00,0,,,,8.6,0,,,,2.3,ìÏêº
1987/1/9 10:00,,,,,,0,,,,,
1987/1/9 11:00,,,,,,0,,,,,
1987/1/9 12:00,0,,,,12.7,0,,,,1.9,êº
1987/1/9 13:00,,,,,,0,,,,,
1987/1/9 14:00,,,,,,0,,,,,
1987/1/9 15:00,1,,,,13.4,0,,,,4.3,ñkñkìå
1987/1/9 16:00,,,,,,0,,,,,
1987/1/9 17:00,,,,,,0,,,,,
1987/1/9 18:00,1,,,,11,0,,,,5.4,ñkñkêº
1987/1/9 19:00,,,,,,0,,,,,
1987/1/9 20:00,,,,,,0,,,,,
1987/1/9 21:00,0,,,,8.7,0,,,,2.3,ñk
1987/1/9 22:00,,,,,,0,,,,,
1987/1/9 23:00,,,,,,0,,,,,
1987/1/10 0:00,9,,,,7.5,0,,,,2.9,ñk
1988/1/9 1:00,,,,,,0,,,,,
1988/1/9 2:00,,,,,,0,,,,,
1988/1/9 3:00,0,,,,5.6,0,,,,1.8,ìÏìÏêº
1988/1/9 4:00,,,,,,0,,,,,
1988/1/9 5:00,,,,,,0,,,,,
1988/1/9 6:00,0,,,,5.7,0,,,,1.1,êºñkêº
1988/1/9 7:00,,,,,,0,,,,,
1988/1/9 8:00,,,,,,0,,,,,
1988/1/9 9:00,0+,,,,8.6,0,,,,1.2,êº
1988/1/9 10:00,,,,,,0,,,,,
1988/1/9 11:00,,,,,,0,,,,,
1988/1/9 12:00,2,,,,12.1,0,,,,1.3,êºìÏêº
1988/1/9 13:00,,,,,,0,,,,,
1988/1/9 14:00,,,,,,0,,,,,
1988/1/9 15:00,2,,,,11.1,0,,,,7.1,ñkñkêº
1988/1/9 16:00,,,,,,0,,,,,
1988/1/9 17:00,,,,,,0,,,,,
1988/1/9 18:00,1,,,,8.4,0,,,,4.6,ñk
1988/1/9 19:00,,,,,,0,,,,,
1988/1/9 20:00,,,,,,0,,,,,
1988/1/9 21:00,1,,,,6,0,,,,3.8,ñk
1988/1/9 22:00,,,,,,0,,,,,
1988/1/9 23:00,,,,,,0,,,,,
1988/1/10 0:00,3,,,,5.2,0,,,,2.5,ñkñkìå
1989/1/9 1:00,,,,,,0,,,,,
1989/1/9 2:00,,,,,,0,,,,,
1989/1/9 3:00,10,,,,9.8,0,,,,3.2,ñk
1989/1/9 4:00,,,,,,0,,,,,
1989/1/9 5:00,,,,,,0,,,,,
1989/1/9 6:00,10,,,,9.3,0,,,,2,ñkñkêº
1989/1/9 7:00,,,,,,0,,,,,
1989/1/9 8:00,,,,,,0,,,,,
1989/1/9 9:00,10,,,,9.6,0,,,,1.8,ñk
1989/1/9 10:00,,,,,,0,,,,,
1989/1/9 11:00,,,,,,0,,,,,
1989/1/9 12:00,10,,,,10.2,0,,,,4.5,ìåñkìå
1989/1/9 13:00,,,,,,0,,,,,
1989/1/9 14:00,,,,,,0,,,,,
1989/1/9 15:00,10,,,,10.4,0,,,,4.9,ñk
1989/1/9 16:00,,,,,,0,,,,,
1989/1/9 17:00,,,,,,0,,,,,
